ECTRL ID,CO2
184408235.0,29706.70958915006
184408236.0,231742.88156700935
184408237.0,18861.87674732035
184408238.0,541279.2350381124
184408239.0,105547.74132532583
184408240.0,410065.80538412475
184408241.0,346522.72075067565
184408242.0,91976.17154532668
184408243.0,462743.76124632306
184408246.0,16656.576490097425
184408247.0,21813.13090898598
184408248.0,23929.572224125648
184408249.0,173235.15112253375
184408250.0,160382.8411203508
184408253.0,174687.01201577947
184408254.0,92556.93123925528
184408255.0,200922.52352454906
184408256.0,119568.89619418369
184408257.0,143290.1642442045
184408258.0,27958.59807372754
184408259.0,18617.72504218322
184408261.0,355277.1140953039
184408262.0,147785.82399519067
184408265.0,164462.89564861305
184408266.0,380384.96095775877
184408267.0,292897.2005744057
184408268.0,262977.760680866
184408269.0,269186.2796139933
184408285.0,19245.925790058765
184408319.0,29029.69212060782
184408377.0,24933.758745328887
184408423.0,203486.0302414584
184408437.0,143117.7999115261
184408438.0,120115.73846570098
184408446.0,204738.03517996048
184408504.0,161929.61825284822
184408534.0,138503.03861945192
184408537.0,36099.00479292429
184408549.0,91527.55482543058
184408552.0,4348.331201139704
184408565.0,61856.500570388554
184408582.0,199674.14429730814
184408606.0,132647.6085901641
184408676.0,209966.57687447855
184408749.0,9473.247862925582
184408759.0,15770.613834240432
184408775.0,6742.962006731262
184408783.0,13155.650060529519
184408812.0,6990.918083130742
184408818.0,177884.40919174525
184408820.0,10725.896686711485
184408832.0,228255.65786618352
184408840.0,3232.190283669709
184408848.0,185206.65971446954
184408853.0,4618.976452181597
184408860.0,259476.70229683173
184408866.0,65589.19431237229
184408875.0,8733.46898919684
184408894.0,6797.535657965616
184408903.0,12841.888865971023
184408909.0,25409.30014838008
184408954.0,8243.366222144317
184408977.0,9742.263866991545
184408978.0,15641.468334068592
184408990.0,8921.568412242726
184409000.0,37149.50699737111
184409006.0,6827.884348313637
184409030.0,8299.313416682555
184409079.0,9765.950319453981
184409088.0,11536.032115711496
184409094.0,12988.002469117875
184409102.0,7909.743671061667
184409120.0,10230.58834883904
184409132.0,3856.484841415483
184409143.0,13724.150616025847
184409146.0,8031.516170546231
184409151.0,13509.734758719753
184409153.0,5793.149706420876
184409157.0,4545.660006205318
184409198.0,10642.081065967826
184409208.0,38279.21394895287
184409210.0,9674.44797550596
184409215.0,9615.226877670679
184409216.0,6760.70715535264
184409242.0,9399.693095674977
184409245.0,9927.075496094136
184409286.0,4980.618205844635
184409325.0,8896.745935268676
184409328.0,20681.841485902343
184409336.0,16967.069840594977
184409340.0,9428.300083330845
184409352.0,22825.173870198552
184409355.0,9487.41039537164
184409362.0,3188.941125683701
184409367.0,11258.92742594981
184409383.0,6079.417909619514
184409389.0,46348.85737079371
184409414.0,27196.953536099554
184409423.0,15395.120699850679
184409426.0,3001.1763283544256
184409437.0,10126.707411046367
184409438.0,13913.929442037681
184409462.0,13512.146456248942
184409474.0,6707.845351120008
184409475.0,9502.883425142822
184409480.0,8014.806133746855
184409496.0,24257.195102820286
184409503.0,14272.903593148096
